ANDELA,1,0,0,1
n,0,0,11,11
LLGPL,0,0,3,3
CC-BY-NC,0,0,2,2
AGPLv3 or Commercial,0,0,2,2
SEE LICENSE IN README.md,0,0,307,307
(Apache-2.0 AND MIT),0,0,8,8
copyrights@danyrubyhan2015,1,0,0,1
SEE LICENSE IN reset.css,0,0,4,4
MIT license (MIT),29,0,66,95
MPLv2.0,0,0,61,61
http://www.jqwidgets.com/license/,0,0,82,82
Custom with a touch of MIT,3,0,0,3
PRAGMA,0,0,1,1
GNU GENERAL PUBLIC LICENSE Version 2,19,0,25,44
CPAL-1.0 OR AGPL-1.0,0,0,5,5
rainforwind-private,0,0,1,1
CC-BY 3.0,0,0,47,47
Eclipse Public License + Eclise Distribution License,0,0,1,1
To be decided,3,0,0,3
MIT (http://brianmhunt.mit-license.org/),0,0,6,6
XXX,0,0,2,2
(BSD-2-Clause OR MIT),0,0,2,2
NOTFORSALE,0,0,3,3
GPL 2,840,0,2,842
GNU GPL v2,28,0,98,126
MPLv2,49,0,196,245
Internal,0,0,1,1
GPLv3+,168,0,30,198
CUBITO,0,0,13,13
GPL v3.0,10,0,38,48
Apache License v2.0,96,0,101,197
LPGLv2,5,0,0,5
MIT and GPL v2,3,0,0,3
Apache-1.0,0,0,1,1
SecuredCloud,7,0,0,7
JSF,0,0,1,1
LGPL:,0,0,8,8
Apache v2.0 January 2004,0,0,2,2
the unlicense,0,0,2,2
AGPL Copyright 2014 uh-sem-blee Co.,0,0,172,172
Enterprise,0,0,11,11
MTL 2.0,0,0,1,1
http://www.gnu.org/licenses/gpl.txt,3,0,0,3
Apache license,3,0,0,3
LGPL-2|LGPL-2.1[expanded from: LGPL (&ge; 2.0 &lt; 3)],0,1,0,1
(Creative Commons 3.0 BY license),0,0,2,2
MIT OR WTFPL,0,0,7,7
Tanapat Sainak,2,0,0,2
Sea LICENSE,1,0,0,1
GPL,1678,0,4819,6497
New BSD (3-clause),17,0,0,17
apache2,123,0,44,167
GPL and commercial,0,0,7,7
http://formvalidation.io/license/,0,0,1,1
ODPL-1.0,1,0,0,1
X11/LGPL/GPL,0,0,1,1
Ruby License (2-clause BSDL or Artistic),22,0,0,22
Copyright shutterstock.com 2014,1,0,0,1
LGPL2.1,0,0,52,52
GOVERNMENT LICENSE,3,0,0,3
BSD_2_clause+ fileLICENSE,0,70,0,70
Common Public License Version 1.0,0,2,0,2
(LGPL-2.1 AND MIT),0,0,5,5
MPL/2.0,3,0,10,13
BSD3-Clause,0,0,73,73
Copyright 2013 Joe McIlvain,16,0,0,16
emojidex asset license,3,0,0,3
http://bpmn.io/license,0,0,24,24
Apache License,27,0,506,533
GSLv3,182,0,0,182
cordova-sierra-p-assist Licence,0,0,2,2
SEE LICENSE IN LICESNSE,0,0,1,1
Copyright (c) 2015 FeedHenry Ltd All Rights Reserved.,0,0,93,93
MIT Lisense,5,0,0,5
(CECILL-B OR MIT),0,0,1,1
Academic Free License 3.0 (AFL-3.0),4,0,0,4
Microsoft,0,0,1,1
Dual MIT & GPL,0,0,2,2
GPL Lv2,1,0,0,1
Eclipse Public License Eclipse Distribution License,0,0,12,12
MIT (http://mootools.net/license.txt),0,0,215,215
OSL,26,0,0,26
SEE LICENSE FILE,0,0,9,9
Apache License 2.0 (Apache-2.0),14,0,0,14
(BSD OR MIT OR Apache2),0,0,2,2
GNU Lesser General Public License v3,4,0,0,4
AdamWhitcroft,8,0,0,8
wetec,2,0,0,2
Copyright © 2017 Thunderhead. All rights reserved.,0,0,5,5
992375,0,0,1,1
GPL V3 modified,0,0,19,19
ISC OR MIT,0,0,3,3
http://gojs.net/latest/doc/license.html,0,0,11,11
THE BEER-WARE LICENSE (Revision 42),0,0,13,13
https://froala.com/wysiwyg-editor/terms/,0,0,13,13
MIT#,0,0,2,2
SEE LICENSE IN <license.txt>,0,0,76,76
SEE LICENSE IN MIT-LICENSE.txt,0,0,30,30
CC4.0,1,0,0,1
CC-BY-SA 4.0 Itnl.,15,0,0,15
GNU AGPL v3,11,0,0,11
gpl-2.0,0,0,2,2
Undecided,0,0,10,10
EPLv1,9,0,0,9
http://polymer.github.io/LICENSE.txt,0,0,16,16
Apache2 License,0,0,21,21
CC BY-NC,0,0,46,46
CC-BY 4.0 International,0,0,1,1
Unlicense+MIT,0,0,1,1
bsd 3-clause,0,0,4,4
Apache Licence v2,13,0,8,21
MIT (http://),0,0,13,13
Intelisis,0,0,5,5
1,0,0,2,2
BSOD,0,0,5,5
MIP,0,0,4,4
cc-by-4.0,0,0,1,1
HPE,0,0,3,3
SEE LICENSE IN licensing/AccusoftLicenseAgreement.txt,0,0,5,5
http://opensource.org/licenses/MIT,15,0,16,31
APACHE 2,8,0,16,24
Ruby's,94,0,0,94
NPOSL-3.0,0,0,1,1
WGU,0,0,24,24
GPL-2|GPL-3[expanded from: GNU General Public License],0,12,0,12
CC BY-NC 4.0,19,1,16,36
AGPLv2,0,0,13,13
AGPLv3+,17,0,7,24
Apache-2.0 OR BSD-3-Clause,0,0,2,2
https://github.com/lujintan/sherrie/blob/master/LICENSE,0,0,8,8
nobody should use this thing right now,1,0,0,1
BSC-2-Clause,0,0,3,3
fuck,0,0,1,1
APACHE2.0,0,0,17,17
cc-zero,6,0,0,6
Apache Version 2,1,0,26,27
Ms-PL,0,0,82,82
SMC,4,0,0,4
Mozilla Public License,30,0,13,43
GNU General Public License version 2,0,0,2,2
<script>alert(3)</script>,0,0,1,1
Creative Commons,0,0,77,77
BSD or GPL 2.0,0,0,5,5
www.coco.com,0,0,1,1
Steele Nelson,0,0,2,2
menghuanwd,3,0,0,3
TPOL,9,0,0,9
SEE LICENSE IN License,0,0,11,11
LPGLv3,0,0,1,1
yxh,0,0,13,13
CC-BY-4.0,9,0,1091,1100
COPYING,7,0,0,7
AA,0,0,1,1
Free for any use,0,0,1,1
WTFPLv2,2,0,12,14
MOXA,0,0,44,44
Tri Bui,2,0,0,2
111111,0,0,2,2
FSC,0,0,1,1
GPL version 2,3,0,0,3
MPL2.0,10,0,17,27
VUL,0,0,2,2
1000,0,0,1,1
(ISC) GLP,0,0,2,2
(Unlicense or Public-Domain),0,0,26,26
CC 4.0,0,0,7,7
LGPL2,14,0,16,30
NASA-1.3,4,0,1,5
ISC / GPL,0,0,35,35
GNU GPL version 2,44,0,0,44
ManyWho License Version 1.0,2,0,0,2
GPL-2|Artistic-2.0,0,1,0,1
something about RSA with coolpad,0,0,6,6
Apache License Version 2.0,0,0,10,10
Internet Systems Consortium (ISC),4,0,0,4
All rights temporarily reserved ,1,0,0,1
Ask Chet,0,0,2,2
Apache 1.1,0,0,1,1
See License section in README.md,0,0,1,1
http://www.opensource.org/licenses/MIT,9,0,9,18
CECILL-2.1,0,0,21,21
done,0,0,2,2
BSD license,0,0,7,7
SEE LICENSE IN LICENSE.rtf,0,0,1,1
Wambl,1,0,0,1
Copyright (c) 2015 Avocode Inc. All rights reserved,0,0,187,187
proprietary,54,0,184,238
(c) Jerzy J. Gangi 2015. All Rights Reserved.,15,0,0,15
GPLv3 or later,31,0,6,37
http://xdsoft.net/jodit/license.html,0,0,120,120
Appcelerator Commercial,0,0,280,280
GPL v.2,0,0,4,4
adasdsda,0,0,1,1
SEE LICENSE IN COPYING.MD,0,0,1,1
CC-BY-ND,0,0,19,19
Apache-2.0),1,0,0,1
SEE LICENSE IN https://creativecommons.org/licenses/,0,0,2,2
apache v2,0,0,1,1
copyleft,1,0,2,3
AFL-2.0,0,0,17,17
--,0,0,16,16
CPAL-1.0,0,0,139,139
Dual licensed under the MIT and GPL licenses,0,0,1,1
SEE LICENSE IN,0,0,2,2
http://abletech.github.com/neat-complete/doc/LICENSE.md.html,0,0,1,1
80,0,0,1,1
https://github.com/AuthorizeNet/sdk-ruby/blob/master/license.txt,22,0,0,22
SB,4,0,0,4
Modified MIT,0,0,9,9
GPL-2.0+ AND MIT,0,0,43,43
Equivilent to emojidex,1,0,0,1
BHASKAR,3,0,0,3
 Apache License 2.0,0,0,14,14
To Use: WTFPL To Contribute: Dojo CLA,0,0,16,16
https://creativecommons.org/publicdomain/zero/1.0/,3,0,0,3
BSD-3-Clasue,0,0,4,4
GPL Version 3,0,0,30,30
Undefined,0,0,2,2
SEE LICENSE IN license.txt,0,0,223,223
MIT / http://rem.mit-license.org,0,0,8,8
MIT or GPL Version 2,0,0,16,16
Copyright 2015 Jonas Duri,0,0,2,2
CluedIn,0,0,5,5
Ruby-BSD,2,0,0,2
GPOL,0,0,1,1
Copyright (C) 2015 by Thinkful Inc.,0,0,3,3
MIT but not for Redactor.js,1,0,0,1
GPL-v3,1,0,14,15
Copyright (c) 2017 Indegene Inc.,0,0,5,5
New BSD license,4,0,0,4
LICENSE-MIT,0,0,10,10
All Rights reserved Dr. Nawwaf Kharma (http://drkharma.com),0,0,1,1
SIL OPEN FONT LICENSE Version 1.1,0,0,2,2
Comcast,3,0,0,3
CC BY-NC-ND 4.0,2,1,18,21
All Rights Reserved (proprietary),0,0,21,21
BSD 3-clause License,0,1,0,1
See README.md,0,0,2,2
IMT,0,0,16,16
CC BY-SA 2.0+ fileLICENSE,0,1,0,1
(EDL-1.0 OR EPL-1.0),0,0,6,6
MIT Expat License,0,0,5,5
Copyright,6,0,194,200
https://raw.github.com/ohmed/ImEx.js/master/LICENSE,0,0,7,7
SEE LICENSE IN index.html,0,0,1,1
CCPL,13,0,0,13
all right reserved,0,0,1,1
MIT or GPL2,0,0,1,1
adPlay.ir,0,0,20,20
BD-2-Clause,0,0,1,1
WPS,0,0,6,6
Tous droits reserves,0,0,1,1
B.S.D,0,0,3,3
No,0,0,11,11
GPLv2,716,0,1581,2297
POWERKX,1,0,0,1
3-BSD,8,0,0,8
Lizenz CC BY-NC-SA 3.0,9,0,0,9
X.org,0,0,1,1
APACHE LICENSE VERSION 2.0,0,0,11,11
 MPL-2.0,0,0,6,6
SEE LICENSE IN LICENSE Folder,0,0,1,1
SeedAlpha ©2015,0,0,2,2
http://codeflyer.mit-license.org/,0,0,2,2
Crevid,0,0,29,29
GPL-3.0+,368,0,1722,2090
ECL2,1,0,0,1
MPL 2,2,0,7,9
GPLv3,1727,0,4817,6544
https://github.com/kbscript/watch-dog/blob/master/LICENSE,0,0,2,2
LGPLv2.1,22,0,4,26
BSD Simplified,22,0,1,23
W3C,0,0,131,131
MITISC,0,0,1,1
IPL-1.0,19,0,44,63
gpl-mit,0,0,18,18
SATA,0,0,29,29
BEER-WARE,0,0,2,2
APACHE,70,0,190,260
MPL-v2.0,0,0,2,2
LGPL-2.0+,1,0,15,16
CC0 1.0,8,0,9,17
BSD 3,0,0,2,2
MIT_License,0,0,1,1
 GPL-3.0,0,0,9,9
BSD (3-clause),17,0,0,17
GPVv2,0,0,1,1
CC by-nc,0,0,1,1
ASL-2,34,0,0,34
2-clause BSD-style,1,0,0,1
BSD 2 Clause,1,0,1,2
IVS,0,0,13,13
hw,0,0,1,1
Snooper is Open Source! See the LICENCE.md for more information.,2,0,0,2
Copyright (c) Rajarshi Das. All rights reserved,17,0,0,17
Weebly,1,0,0,1
MID,0,0,16,16
Creative Commons Attribution-ShareAlike 3.0 Unported,2,0,1,3
APL2,28,0,23,51
BSD-3-Clause see LICENSE file,0,0,3,3
MIT or GPLv3,0,0,11,11
(CC-BY-SA and SIL),0,0,2,2
FactaTI,32,0,0,32
MIT License (see License),0,0,1,1
Proprietary (see LICENSE.txt),0,0,5,5
BSD License see LICENSE.md for details,0,0,20,20
emojiOL,39,0,0,39
WTHPL v1.0.0,0,0,7,7
CPL-1.0,0,1,2,3
Copywrite Workflo Inc.,0,0,2,2
Not decided yet,1,0,0,1
struggle,35,0,0,35
SEE LICENSE IN LICENSE-MIT,0,0,2,2
not-yet-decided,5,0,0,5
ICU,0,0,8,8
GNU Lesser General Public License version 2.1,1,0,0,1
UlyssesLin,3,0,0,3
BSD Clause 2,6,0,0,6
You want it; its yours.,4,0,0,4
ODBL,0,0,9,9
SEE LICENSE IN <LICENSE.md>,0,0,30,30
Apache License version 2.0,0,0,10,10
CeCILL,0,6,133,139
(GPL-1.0 OR MIT),0,0,1,1
HuJindi,0,0,5,5
©45h,1,0,0,1
Creative Commons 3.0 France,0,0,5,5
GNU General Public License (http://www.gnu.org/licenses),0,0,57,57
Closed,4,0,3,7
FreeBSD,143,5,259,407
MIT AND GPL-2.0,0,0,18,18
LGPL+,0,0,9,9
APL 2.0,64,0,29,93
2-clause BSD,4,0,0,4
Premier,2,0,0,2
Commercial,21,0,254,275
Crowley Licence 1.0 (see included LICENCE.txt),0,0,5,5
Public Domain. See LICENSE.md,3,0,0,3
For license information contact info@intellifylearning.com,0,0,8,8
n.a.,1,0,0,1
Test1,0,0,1,1
https://github.com/facebook/planout/blob/master/LICENSE,0,0,31,31
Elastic License,1,0,0,1
GNU AFFERO GENERAL PUBLIC LICENSE v3,0,0,5,5
Refer to Terms of Service.pdf,0,0,12,12
GNU-v2,0,0,4,4
0.0.1,0,0,1,1
NONSTANDARD,3,0,0,3
TW,1,0,0,1
KSB,0,0,2,2
Yang.FC,2,0,0,2
ope,2,0,0,2
Apache Public License Version 2,0,0,5,5
Located in license.html,0,0,1,1
Hellofoobar,1,0,0,1
PayPal,0,0,4,4
http://www.wtfpl.net,0,0,110,110
Beerware/Pizzaware,0,0,4,4
1234,0,0,3,3
Talk to the Legal Department,0,0,30,30
Kishore at Programming,3,0,0,3
(MIT OR GPL-3),0,0,2,2
Boost Software License v1.0,0,0,4,4
MIT/GPL-2.0,0,0,2,2
LGPL Version 3,4,0,0,4
Public Domain. See LICENSE.txt,3,0,0,3
GPL-2.1,4,0,0,4
See ./LICENSE,0,0,2,2
EB,0,0,26,26
http://wakanda.org/license,0,0,3,3
free,2,0,99,101
UNLICNSE,0,0,1,1
CC-BY-NC-ND-4.0,63,0,189,252
GNU GPL Version 3,33,0,0,33
Apache Software License v2,0,0,15,15
MIT unless you're the NSA,4,0,0,4
Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),5,0,1,6
ReportsMash License,5,0,0,5
GIT,0,0,8,8
NON-MILITARY SOCIALIST LICENCE VERSION 1,0,0,8,8
FRS,0,0,2,2
huang@123.com,0,0,1,1
JSON,0,0,24,24
cc-by-3.0,0,0,12,12
0,0,0,38,38
EUPL (== 1.1),0,1,0,1
GPLV3,11,0,7,18
BSD 2-clause License+ fileLICENSE,0,7,0,7
Patito WTFPL,0,0,1,1
Affero GPL,0,0,5,5
Eclipse Public License v1.0,1,0,0,1
 GNU GENERAL PUBLIC LICENSE,0,0,1,1
Apache v2.0,0,0,34,34
ArtDesignCreative,0,0,6,6
LGPLv3 or later,5,0,0,5
PHP 3.01,0,0,1,1
WTFPL / BSD-3-Clause / MIT / zlib,0,0,7,7
MIT @chetandhembre,0,0,1,1
ISC license,6,0,0,6
Copyleft,0,0,162,162
Happy Technologies,0,0,176,176
LGPL-3| fileLICENSE,0,4,0,4
same as https://github.com/mikeal/node.couchapp.js,0,0,1,1
WTFPL-2,3,0,0,3
VOL,0,0,376,376
MIT License+ fileLICENSE,0,3,0,3
SEE LICENSE IN BSL.TXT,0,0,7,7
AGPL 3.0,0,0,16,16
Lavelle Networks,1,0,0,1
JSON License (Modified MIT),0,0,6,6
PAL,55,0,0,55
Scotiabank,0,0,2,2
The unlicense,0,0,1,1
SIL Open Font License,68,0,0,68
NO,0,0,3,3
GPL (&ge; 3)(see fileLICENSE),0,6,0,6
GPL/V3,4,0,27,31
The MIT Licence,0,0,4,4
NONE,15,0,93,108
NGPL,1,0,0,1
GPL-2|GPL-3[expanded from: GPL (&ge; 2.0)],0,100,0,100
Comercial,0,0,1,1
cc-by,1,0,0,1
OFL-1.1,6,0,25,31
OpenPLv1.0,0,0,3,3
GpLv2,0,0,1,1
All rights reserved,53,0,54,107
Unlicense (http://unlicense.org/),0,0,261,261
http://www.imsglobal.org/copyright.html,21,0,0,21
WTF,6,0,197,203
EPL-V10,1,0,0,1
GPL V.2,0,0,2,2
LGPL-2.1|LGPL-3[expanded from: LGPL (&gt; 2.0)],0,1,0,1
SEE LICENSE IN memoizeStringOnly.js,0,0,2,2
GPL3.0,2,0,31,33
MIT Boost Software License,0,0,1,1
GNU-AGPL-3.0,0,0,3,3
OML,0,0,7,7
Open-Source License,1,0,0,1
OFL,1,0,8,9
AGPL3 or commercial open source,0,0,4,4
See the LICENSE file.,0,0,3,3
http://towry.mit-license.org/,0,0,1,1
MIT BSD GPL,0,0,3,3
BSD2,0,0,54,54
BFD,1,0,1,2
CC Attribution 4.0 International,1,0,0,1
BSD-3-CLAUSE,2,0,0,2
APA-2,0,0,16,16
Public Domain,1331,0,667,1998
AGPL V3.0,1,0,0,1
b,0,0,1,1
GPL-2|GPL-3|LGPL-2|LGPL-2.1|LGPL-3[expanded from: GPL (&ge; 2) | LGPL (&ge; 2)],0,1,0,1
Launch,8,0,0,8
GPL 2.0+,0,0,1,1
Apache License version 2.0,0,0,6,6
Apache Software License 2.0,7,0,29,36
Banno LLC. All rights reserved.,0,0,6,6
GLGPL v3,0,0,13,13
Modified Apache-2.0,7,0,0,7
<%= applicense %>,0,0,2,2
(BSD-3-Clause OR ECL-2.0),0,0,4,4
Use by permission only.,17,0,0,17
BY-NC-SA 4.0,0,0,1,1
GarlicTech,0,0,2,2
En Tramite,0,0,1,1
EUPL V.1.1,9,0,0,9
Copyright (c) 2014 by Fokke Zandbergen,0,0,1,1
Apache software license Version 2.0,0,0,4,4
MIT 1.0,0,0,3,3
Beer,3,0,8,11
LGPLv2,67,0,1,68
Apache-v2,26,0,47,73
AIL,1,0,0,1
free binary,0,0,1,1
SEE LICENSE IN FILE,0,0,29,29
kindest,1,0,0,1
MIT (see LICENSE file),34,0,0,34
modified GPL see file,0,0,3,3
ISC / BSD-2-Clause,0,0,1,1
Creative Common Attribution 4.0 International License,8,0,0,8
LGPL3+,0,0,46,46
GPL~3.0,4,0,0,4
1.0.0,0,0,1,1
APACHE-2,25,0,16,41
POL-1.0,0,0,11,11
iTrack ONLY,0,0,4,4
2 Clause BSD,5,0,0,5
GNU AFFERO GENERAL PUBLIC LICENSE version 3,12,0,0,12
Cowboy Code,2,0,0,2
MIT and SciPy license,1,0,0,1
N/A,6,0,48,54
rotation,0,0,1,1
(ISC OR WTFPL),0,0,11,11
GPL V2,1,0,19,20
PayrollHero Internal,2,0,0,2
Dont distribute anywhere external,1,0,0,1
BSD-4-Clause,10,0,45,55
MasterCard,4,0,0,4
THIS IS PROVIDED UNDER MIT LICENSE,6,0,0,6
Eclipse Public License 1.0,0,0,4,4
KJL,7,0,0,7
LicenseRef_LICENSE,0,0,1,1
byvoidmodulemawei,0,0,2,2
GPL v.3,7,0,1,8
MIT and GPL,0,0,1,1
gpl-v3.0,0,0,21,21
CC-SA 3.0,0,0,1,1
IDK,2,0,3,5
GNU General Public,0,0,1,1
GPL-2|GPL-3|MIT+ fileLICENSE[expanded from: GPL (&ge; 2) | MIT + file LICENSE],0,1,0,1
AFL-1.1,0,0,10,10
NA,8,0,9,17
Apache lisense 2,0,0,3,3
nherve,1,0,0,1
(BSD),0,0,5,5
SEE README.md,0,0,1,1
 AGPL-3.0+,0,0,9,9
Google-BSD,0,0,1,1
CC BY-ND 3.0,1,0,0,1
2 clause BSD,0,0,4,4
NEEV,1,0,0,1
Private Totem LLC all rights reserved.,0,0,17,17
©,0,0,1,1
Copyright Samuel,2,0,0,2
Supported-Source,10,0,0,10
copyright 2013-2014 Alex Schenkel,0,0,3,3
Appcelerator Software License (non-open source),0,0,363,363
GPL-3.0+ OR MIT,0,0,3,3
unlicence,0,0,27,27
GNU v3,5,0,43,48
MIT+ fileLICENSE,0,859,0,859
https://github.com/iclanzan/grunt-jassi/blob/master/LICENSE,0,0,1,1
Attribution-NonCommercial-NoDerivatives 4.0 International,9,0,13,22
Sunpower,0,0,2,2
RTE,0,0,10,10
Copyright (C) 2016 ProductOps,0,0,24,24
https://github.com/lujintan/fs-enhance/blob/master/LICENSE,0,0,4,4
GPL-2|GPL-3[expanded from: GPL],0,482,0,482
ISC AND GPL-2.0,0,0,19,19
AutoItX license,1,0,0,1
GNU GPL v2 License,0,0,1,1
Creative Commons v4.0,0,0,8,8
CZ,0,0,1,1
Modified BSD License (BSD 3-clause),0,0,2,2
MTC,0,0,41,41
TRON,2,0,2,4
XNet,0,0,3,3
VMWare license,0,0,17,17
gpl,1,0,50,51
L I C E N S E M E B O Y S,0,0,3,3
Vistaprint,5,0,0,5
The Unilicense,0,0,5,5
Evaluation/non-commercial use,0,0,1,1
BSD 3-Clause,378,0,160,538
GPLv3+: GNU General Public License version 3 or later,18,0,0,18
Copyright by Straas.io,0,0,9,9
Creative Commons (by SA) 2.5,0,0,1,1
BLM,0,0,2,2
(c) MIT,2,0,0,2
MS-PL,1,0,54,55
MIT/AGPLv3,0,0,3,3
 GPL-3.0+,0,0,7,7
GPL (== 2),0,2,0,2
LGLv3,11,0,0,11
Apache20,0,0,1,1
mti,0,0,2,2
SEE LICENCE IN LICENSE,0,0,5,5
DBC Nick Gerakines (for the messages),1,0,0,1
Do What the Fuck You Want to Public License,0,0,1,1
MAS,0,0,13,13
Architecode Research License,0,0,1,1
LGPL-2.1,247,16,579,842
Maniankara Inc.,7,0,0,7
MIT/GPLv3,0,0,9,9
Various,57,0,0,57
GLP-2,1,0,0,1
OSS,0,0,1,1
Affero General Public License v3,0,0,4,4
MIT],0,0,5,5
Commercial license,0,0,3,3
Copyright 2014 - All Rights Reserved,1,0,0,1
ASL,33,0,27,60
isc,0,0,198,198
Atlassian Design Guidelines License,0,0,3,3
GNU PUBLIC LICENCE,0,0,1,1
FreeForAll,1,0,0,1
gpl v3,0,0,11,11
Apache License (&ge; 2.0),0,4,0,4
open source,0,0,17,17
(MIT AND OFL-1.1),0,0,10,10
GNU General Public License version 3,0,2,0,2
See https://bugfender.com/terms,0,0,4,4
Public Domain CC0,35,0,0,35
Luminov Global Indonesia,0,0,6,6
Commercial License,7,0,1,8
BDS-2-Clause,0,0,1,1
LGPL-2|LGPL-2.1|LGPL-3[expanded from: LGPL (&ge; 2)],0,20,0,20
   MIT,0,0,1,1
jetaime_mk108@yahoo.com,0,0,1,1
none. back off. mind your own business.,0,0,8,8
mohammad mahmoudi,2,0,0,2
chungphuoc,1,0,0,1
SHIELD SOFTWARE LICENSE AGREEMENT,14,0,0,14
BSD-3-Clause and MIT,0,0,2,2
Mattersight,0,0,8,8
FeiJi,1,0,0,1
apache2.0,0,0,21,21
GNU-2,0,0,5,5
COmcast Mobility Development Team,0,0,1,1
anonymous,0,0,1,1
EPL,59,2,87,148
LICENSE.txt,3,0,2,5
ATS Dev,0,0,17,17
See LICENCE.html,3,0,0,3
IDk,0,0,2,2
ISO,0,0,2,2
Copyright 2013 Joe McIlvain. All rights reserved.,16,0,0,16
MIT License (see Readme),0,0,3,3
MIT / http://www.highcharts.com/license/,0,0,8,8
MIT GNU General Public License Version 2,0,0,7,7
alex2013,0,0,1,1
TBA,0,0,14,14
BSD-2,67,0,177,244
3-Clause BSD,129,0,6,135
isource,0,0,1,1
CC BY-SA 4.0+ fileLICENSE,0,1,0,1
You want it?  Its yours!,11,0,0,11
Yang Liu,0,0,1,1
AL2,0,0,3,3
http://www.amcharts.com/online-store/licenses-explained/,0,0,3,3
(Apache-2.0 AND MPL-2.0),0,0,17,17
GNU General Public License v3,25,0,25,50
(MIT OR LGPL-3.0),0,0,8,8
DWTFYWPL,0,0,4,4
private,3,0,207,210
LGPL-2.0 with OCaml linking exception,0,0,3,3
CECILL v2,0,0,1,1
MIT & GPL,0,0,11,11
JkgINC,0,0,4,4
SEE LICENSE IN COPYING.txt,0,0,5,5
GPL-2|GPL-3| fileLICENCE[expanded from: GPL (&ge; 2.0) | file LICENCE],0,1,0,1
git remote add origin,0,0,3,3
IS,0,0,1,1
ASL2,125,0,5,130
Justin Moulton,1,0,0,1
Xnet,0,0,53,53
GPL V3,1,0,21,22
IDA,0,0,46,46
BSE,0,0,1,1
MIT/DIT,1,0,0,1
 Apache License,0,0,6,6
Data licence Germany âttribution âersion 1.0,1,0,0,1
Yoloswag,2,0,0,2
Licence Public Rien À Branler,0,0,13,13
WTFL,0,0,5,5
License.txt,0,0,3,3
ASL 2.0,16,0,35,51
PayPal SDK License,53,0,0,53
Copyright TabCorp Pty Ltd 2013,0,0,6,6
PENDING,0,0,62,62
GNU AGPL v3.0,0,0,1,1
CC BY-SA 2.0,0,0,1,1
CC-BY-SA,11,0,25,36
Apache lisence V2,0,0,4,4
GNU GPL v3.0,13,0,109,122
CC By-SA,10,0,0,10
HUGWARE,52,0,0,52
BDM,0,0,1,1
AGPL (&ge; 3)+ fileLICENSE,0,1,0,1
MIT,2,0,0,2
pd,0,0,4,4
University of Illinois/NCSA Open Source License,16,0,0,16
MPL-20,0,0,1,1
NIT-Neev,1,0,0,1
SEE LICENSE IN FILE LICENSE,0,0,19,19
<LICENSE>,0,0,20,20
GPLv3 with proprietary licensing available,0,0,2,2
LicenseRef-license.txt,0,0,3,3
MIT/Apache 2.0,0,0,41,41
Creative Commons Attribution 4.0 International License,0,0,208,208
UNLICENSES,0,0,1,1
GNU GPL,25,0,126,151
(GPL-2.0 AND MIT),0,0,1,1
MIT AND BSD-3-Clause AND BSD-2-Clause AND JSON,0,0,1,1
BSD 2-Clause,65,0,177,242
2-clause BSD license (see the file LICENSE.txt),6,0,0,6
http://creativecommons.org/licenses/by-sa/3.0/,0,0,1,1
Mozilla Public License Version 2.0,0,0,26,26
ZMP,0,0,2,2
See LICENSE.md,10,0,14,24
© 2015 Omnipaste,3,0,0,3
GPLv3 or Commercial,0,0,5,5
Whatever,0,0,3,3
TBD,1,0,65,66
Apache Lisence version 2.0,1,0,0,1
Intelliswift,1,0,0,1
CPAL-1.0 or http://strongloop.com/license,0,0,6,6
BSD 2-clause,13,0,5,18
LICENSE-2.0.txt,0,0,14,14
Apache Style,2,0,0,2
Widen Commercial License,0,0,1,1
MIT BSD,0,0,11,11
TeamMentor Commercial License,0,0,6,6
AAL,0,0,949,949
COPYRIGHT (c) 2014-2016 TrackJS LLC ALL RIGHTS RESERVED,0,0,3,3
GPL/MIT,0,0,22,22
Copyright Envato - All rights reserved.,3,0,0,3
Eclipse Public Licence (EPL) version 1,0,0,1,1
GNU,221,0,794,1015
apache2 actually,0,0,2,2
LPPL-1.3c,2,0,0,2
WhistlerApps,0,0,4,4
pemrouz.mit-license.org,0,0,825,825
zlib/libpng license,0,0,2,2
node,0,0,1,1
BSD-3-Claude,0,0,5,5
MPL-1.1,7,1,23,31
http://clkao.mit-license.org,0,0,1,1
SEE LICENSE IN LICENSES,0,0,1,1
ZLIB/LIBPNG,0,0,2,2
ZLIB,0,0,12,12
GPL (&ge; 3)| fileLICENCE,0,2,0,2
MIT OR GPL-2.0,0,0,36,36
SEE IN LICENSE,0,0,3,3
MTL,0,0,43,43
https://www.colu.co/TOS,0,0,72,72
MPLv3,6,0,0,6
PaidUp,0,0,1,1
utf-8,0,0,1,1
Not licensed for public use,1,0,0,1
NON-SPDX (WTFPL),0,0,2,2
CC BY-SA 4.0,189,10,51,250
MMIT,0,0,4,4
Appcelerator Commercial / Proprietary,0,0,6,6
THE (extended) BEER-WARE LICENSE,4,0,0,4
MPl,0,0,1,1
SEE LICENSE IN LICENSE-GPL,0,0,3,3
jet.com,0,0,1,1
LGPL-2|LGPL-3|GPL-2|GPL-3,0,1,0,1
Worldline,0,0,12,12
GPL-2|GPL-3| fileLICENSE[expanded from: GPL (&ge; 2) | file LICENSE],0,40,0,40
(MIT OR Zlib),0,0,2,2
(GPL-2.0 OR MIT),0,0,11,11
Nokia,0,0,1,1
substanceware,0,0,57,57
MIT BSD,0,0,5,5
BSDL.v2,0,0,4,4
copyright,0,0,28,28
